+--------------+--------------------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------+------------------------------------+
| event number |                                                           name                                                           |                                           date                                           |                                                        location                                                        |                url                 |
|      92      |                                                          Diwali                                                          |                  From Tuesday, October 21, 2025 4:00 PM to 8:00 PM PDT                   |                                             The Eatery @ Ridgeway Commons                                              | https://win.wwu.edu/event/11365743 |
|      93      |                                                       Comfort Kits                                                       |                 From Wednesday, October 22, 2025 11:00 AM to 1:00 PM PDT                 |                                              Wilson Library/Zoe's Bagels                                               | https://win.wwu.edu/event/11365747 |
|      94      |                                                 Explore your Career Path                                                 |                 From Wednesday, October 22, 2025 4:15 PM to 4:45 PM PDT                  |                                             Hybrid: Old Main 280 and Zoom                                              | https://win.wwu.edu/event/11527928 |
|      95      |                                Disability Action Month: 15th Anniversary of the DOC Panel                                |                  From Thursday, October 23, 2025 5:00 PM to 6:30 PM PDT                  |                                 Multicultural Center Multi-Use Room (Viking Union 735)                                 | https://win.wwu.edu/event/11477432 |
|      96      |                                                     Resume Makeover                                                      |                  From Tuesday, October 28, 2025 4:15 PM to 4:45 PM PDT                   |                                             Hybrid: Old Main 280 and Zoom                                              | https://win.wwu.edu/event/11527937 |
|      97      |                                                      Global Brunch                                                       |                  From Tuesday, October 28, 2025 4:00 PM to 8:00 PM PDT                   |                                            Planet Eats @ Fairhaven Commons                                             | https://win.wwu.edu/event/11365754 |
|      98      |                                                    Boo-Union Pop-Ups                                                     |                 From Wednesday, October 29, 2025 11:00 AM to 1:00 PM PDT                 |                                                      Viking Union                                                      | https://win.wwu.edu/event/11365761 |
|      99      |                                                Cover Letter Crash Course                                                 |                 From Wednesday, October 29, 2025 4:15 PM to 4:45 PM PDT                  |                                             Hybrid: Old Main 280 and Zoom                                              | https://win.wwu.edu/event/11527955 |
|     100      |                               Disability Action Month: DOC 15th Anniversary Birthday Party                               |                 From Wednesday, October 29, 2025 4:00 PM to 6:00 PM PDT                  |                                    Disability Outreach Center (Wilson Library 165)                                     | https://win.wwu.edu/event/11477445 |
|     101      |                                                    Boo-Union Pop-Ups                                                     |                 From Thursday, October 30, 2025 11:00 AM to 1:00 PM PDT                  |                                                      Viking Union                                                      | https://win.wwu.edu/event/11365762 |
|     102      |                                                    Boo-Union Pop-Ups                                                     |                 From Thursday, October 30, 2025 11:00 AM to 1:00 PM PDT                  |                                                      Viking Union                                                      | https://win.wwu.edu/event/11365763 |
|     103      |                                                 Spooky Splash at the Rec                                                 |                  From Thursday, October 30, 2025 4:00 PM to 7:00 PM PDT                  |                                       Wade King Student Recreation Center - Pool                                       | https://win.wwu.edu/event/11340590 |
|     104      |                                      Intramural 6v6 Halloween Dodgeball Tournament                                       |                 From Thursday, October 30, 2025 6:00 PM to 10:00 PM PDT                  |                                     Wade King Student Recreation Center - MAC Gym                                      | https://win.wwu.edu/event/11332281 |
|     105      |                                                       Pumpkin Fest                                                       |                  From Friday, October 31, 2025 11:00 AM to 1:00 PM PDT                   |                                               Food Hall @ Viking Commons                                               | https://win.wwu.edu/event/11365771 |
|     106      |                                                       Pumpkin Fest                                                       |                   From Friday, October 31, 2025 4:00 PM to 8:00 PM PDT                   |                                            Planet Eats @ Fairhaven Commons                                             | https://win.wwu.edu/event/11365772 |
|     107      |                                                       Pumpkin Fest                                                       |                   From Friday, October 31, 2025 4:00 PM to 8:00 PM PDT                   |                                             The Eatery @ Ridgeway Commons                                              | https://win.wwu.edu/event/11365773 |
|     108      |                       Disability Action Month: 15th Anniversary of the Disability Outreach Center                        |    From Tuesday, September 30, 2025 12:00 AM to Friday, October 31, 2025 11:45 PM PDT    |                                                         Varies                                                         | https://win.wwu.edu/event/11477409 |
|     109      |                                                    Dia De Los Muertos                                                    |                 From Saturday, November 1, 2025 11:00 AM to 1:00 PM PDT                  |                                               Food Hall @ Viking Commons                                               | https://win.wwu.edu/event/11365776 |
|     110      |                                                    Dia De Los Muertos                                                    |                   From Sunday, November 2, 2025 4:00 PM to 8:00 PM PST                   |                                             The Eatery @ Ridgeway Commons                                              | https://win.wwu.edu/event/11365777 |
|     111      |                                              Native American Heritage Month                                              |                  From Tuesday, November 4, 2025 11:00 AM to 1:00 PM PST                  |                                               Food Hall @ Viking Commons                                               | https://win.wwu.edu/event/11365787 |
